Iteration,RMSE,Complexity,Equation
1,87.76266745320666,1,PySRFunction(X=>-1.20731320000000)
1,22.62360397144973,3,PySRFunction(X=>41.16205 + 42.427464)
1,22.3186947037079,6,PySRFunction(X=>Fpr_1_30738 + 38.117043 - 1*(-40.271507))
1,21.56155806995218,7,PySRFunction(X=>Mt_2_76492/0.13093548 + Ptpn_1_29137)
1,20.473166278035336,10,PySRFunction(X=>Myc_66507*(Cyp_1_b_1_72511 + Tspan_4_30708) + 1.6030315)
1,18.63686434901653,11,PySRFunction(X=>Cyp_1_a_1_79654/0.6268308 + Mt_2_76492/0.13093548 - 1*(-1.7697978))
1,18.552042066839242,12,PySRFunction(X=>Cyp_1_a_1_79654/0.6268308 + Mt_2_76492/0.13093548 + Ptpn_1_29137)
1,18.398412427534574,14,PySRFunction(X=>Cyp_1_a_1_79654/0.6268308 + Mt_2_76492/0.13093548 + Rpl_3_l_76369 - 1*0.01355407)
1,17.223650330950125,15,PySRFunction(X=>AI_661384_31503*(-Arntl_59197 + Cyp_1_a_1_79654) + Mt_2_76492/0.13093548 - 1*0.0066719265)
1,16.51631963223511,16,PySRFunction(X=>AI_661384_31503*(Cyp_1_a_1_79654 - Rgs_22_79648) - Cldn_15_60727 + Mt_2_76492/0.11212675)
1,16.414277599625972,19,PySRFunction(X=>Mt_2_76492/0.13093548 + (AI_661384_31503 + 0.95343024)*(-Arntl_59197 + Cyp_1_a_1_79654) - 1*0.003989021 + 1.1632966)
2,86.2482945014585,1,PySRFunction(X=>0.361011650000000)
2,22.62360397144973,3,PySRFunction(X=>41.16205 + 42.427464)
2,22.59516137048126,4,PySRFunction(X=>Zfp_760_55727 - 1*(-78.635635))
2,19.740233639244426,6,PySRFunction(X=>Mt_2_76492/0.11212675 - 1*(-0.59834))
2,19.66380427653797,9,PySRFunction(X=>-Arntl_59197 + Mt_2_76492/0.11212675 + 0.93019736)
2,18.63686434901653,11,PySRFunction(X=>Cyp_1_a_1_79654/0.6268308 + Mt_2_76492/0.13093548 - 1*(-1.7697978))
2,18.552042066839242,12,PySRFunction(X=>Cyp_1_a_1_79654/0.6268308 + Mt_2_76492/0.13093548 + Ptpn_1_29137)
