chem,equation,parital derivative w/ respect to chem,integrated_derivative,complexity,loss,score,sympy_format,lambda_format,Dataset,Directory
var13,((((2.4644537 / (0.82053953 / var2)) * var6) + var13) - ((myfunction(-0.59953284) / var10) * var13)) + -0.7005314,1 + 0.59953284/var10,13.94284474578975,18.0,1.3360363,0.8365504627577398,var13 - 0.7005314 + 2.4644537*var6/((0.82053953/var2)) - (-1)*0.59953284*var13/var10,PySRFunction(X=>var13 - 0.7005314 + 2.4644537*var6/((0.82053953/var2)) - (-1)*0.59953284*var13/var10),Noise=1,med
var13,myfunction(((2.999346 * var2) * var6) + var13),1,8.668032227179301,8.0,2.7022135,0.3021138112915126,var13 + 2.999346*var2*var6,PySRFunction(X=>var13 + 2.999346*var2*var6),Noise=1,med
var13,(((2.999346 * var2) * var6) + var13) + 0.44995373,1,8.668032227179301,9.0,2.5966613,0.0398447475003198,var13 + 2.999346*var2*var6 + 0.44995373,PySRFunction(X=>var13 + 2.999346*var2*var6 + 0.44995373),Noise=1,med
var13,myfunction(((2.999346 * var2) * var6) + (var13 / var10)),1/var10,12.300509102747341,10.0,1.1342359,0.8282672960973825,2.999346*var2*var6 + var13/var10,PySRFunction(X=>2.999346*var2*var6 + var13/var10),Noise=1,med
var13,myfunction((((2.999346 * var2) * var6) + (var13 / var10)) - 0.07887344),1/var10,12.300509102747341,12.0,1.1304783,0.0016591954287809,2.999346*var2*var6 - 1*0.07887344 + var13/var10,PySRFunction(X=>2.999346*var2*var6 - 1*0.07887344 + var13/var10),Noise=1,med
var13,myfunction((var2 * ((var6 + var6) * 1.5115815)) - (0.51721 - (var13 / var10))),1/var10,12.300509102747341,14.0,1.1127399,0.0079077326222919,var2*(var6 + var6)*1.5115815 - (0.51721 - var13/var10),PySRFunction(X=>var2*(var6 + var6)*1.5115815 - (0.51721 - var13/var10)),Noise=1,med
var13,myfunction(((2.999346 * var2) * var6) + myfunction(var13 / var10)) + (-0.28947288 / var4),1/var10,12.300509102747341,15.0,1.0962245,0.0149533489443708,(2.999346*var2*var6 + var13/var10) - 0.28947288/var4,PySRFunction(X=>(2.999346*var2*var6 + var13/var10) - 0.28947288/var4),Noise=1,med
var13,myfunction((var6 * ((3.5089633 / (1.1806556 / var2)) + 0.28274068)) - ((var13 * (-1.0272614 / var10)) - -1.0812854)),1.0272614/var10,12.635838201600981,18.0,1.09018,0.0018430610314165,var6*(0.28274068 + 3.5089633/((1.1806556/var2))) - (-1*(-1.0812854) + var13*(-1.0272614)/var10),PySRFunction(X=>var6*(0.28274068 + 3.5089633/((1.1806556/var2))) - (-1*(-1.0812854) + var13*(-1.0272614)/var10)),Noise=1,med
var13,myfunction((var6 * ((4.614217 / (1.5498644 / var2)) + 0.2606841)) - (((-1.0245858 / var10) * var13) - myfunction(myfunction(-1.0549725)))),1.0245858/var10,12.602926959445671,20.0,1.0898167,0.0001666516299603,var6*(0.2606841 + 4.614217/((1.5498644/var2))) - (-1*(-1.0549725) - 1.0245858*var13/var10),PySRFunction(X=>var6*(0.2606841 + 4.614217/((1.5498644/var2))) - (-1*(-1.0549725) - 1.0245858*var13/var10)),Noise=1,med
var13,(var2 * (var6 / 0.33877954)) + var13,1,8.668032227179301,7.0,3.1970425,0.1339590363365238,var13 + var2*var6/0.33877954,PySRFunction(X=>var13 + var2*var6/0.33877954),Noise=1,med
var13,myfunction(var13 + ((var2 * var6) / 0.3274125)),1,8.668032227179301,8.0,2.4714637,0.2574155974819632,var13 + var2*var6/0.3274125,PySRFunction(X=>var13 + var2*var6/0.3274125),Noise=1,med
var13,(((var6 * var2) / 0.33305597) + var13) + var13,2,17.336064454358603,9.0,2.0458932,0.1889760994667279,var13 + var13 + var2*var6/0.33305597,PySRFunction(X=>var13 + var13 + var2*var6/0.33305597),Noise=1,med
var13,myfunction((var6 * (2.9993496 * var2)) + (var13 / var10)),1/var10,12.300509102747341,10.0,1.1342356,0.5898755228860038,var6*2.9993496*var2 + var13/var10,PySRFunction(X=>var6*2.9993496*var2 + var13/var10),Noise=1,med
var13,(((var6 / 0.33080274) * var2) + (var13 / var10)) - 0.51145846,1/var10,12.300509102747341,11.0,1.1127431,0.0191307158266438,var2*var6/0.33080274 - 1*0.51145846 + var13/var10,PySRFunction(X=>var2*var6/0.33080274 - 1*0.51145846 + var13/var10),Noise=1,med
var13,myfunction((var13 / var10) + (((var6 + -0.094878316) / 0.3279735) * var2)),1/var10,12.300509102747341,12.0,1.095528,0.0155917892086734,var2*(var6 - 0.094878316)/0.3279735 + var13/var10,PySRFunction(X=>var2*(var6 - 0.094878316)/0.3279735 + var13/var10),Noise=1,med
var13,myfunction((((myfunction(var6) / 0.328078) + -0.28234664) * var2) + (var13 / var10)),1/var10,12.300509102747341,13.0,1.0954202,9.840488249520052e-05,var2*(var6/0.328078 - 0.28234664) + var13/var10,PySRFunction(X=>var2*(var6/0.328078 - 0.28234664) + var13/var10),Noise=1,med
var13,((var6 * (var2 * myfunction(3.0231411))) + (var13 / var10)) + (-0.10399568 * var15),1/var10,12.300509102747341,14.0,1.0907309,0.0042900119684316,-0.10399568*var15 + var6*var2*3.0231411 + var13/var10,PySRFunction(X=>-0.10399568*var15 + var6*var2*3.0231411 + var13/var10),Noise=1,med
